mu,mu_0,mu_1,mu_2,sigma,sigma_0,sigma_1,sigma_2
[ 4.13157559e+138 -3.57940980e+138  4.39932048e+138],[-2.98931614e+135  7.64247773e+135],[-1.43398293e+136  7.78436273e+135],[-2.92989071e+136  1.03547049e+136],"[ 4.43192572e-01 -7.83546219e-01  7.14603311e-06 -7.83546219e-01
  2.34518853e+00  5.65527908e-06  7.14603311e-06  5.65527908e-06
  1.31881245e-02]",[ 0.40951867 -0.83487281 -0.83487281  2.20049096],[ 0.40989198 -0.83494155 -0.83494155  2.20021365],[ 0.40989564 -0.83490289 -0.83490289  2.20053215]
[ 4.29361789e+138 -7.26803326e+138  6.78312045e+138],[-3.38027899e+135  8.65757840e+135],[-1.93068155e+136  1.11615155e+136],[-3.97719237e+136  2.19972735e+136],"[ 4.84739344e-01 -7.60539523e-01 -8.38024305e-06 -7.60539523e-01
  2.30352574e+00 -2.45145566e-06 -8.38024305e-06 -2.45145566e-06
  1.31881233e-02]",[ 0.40951866 -0.8348728  -0.8348728   2.20049093],[ 0.40989172 -0.83494137 -0.83494137  2.20021352],[ 0.4098952  -0.8349025  -0.8349025   2.20053175]
[ 2.77272925e+138 -1.27347003e+139  1.04703171e+139],[-2.79062448e+135  7.17998696e+135],[-2.24060939e+136  1.41597303e+136],[-4.67800036e+136  3.97727294e+136],"[ 5.31845296e-01 -7.67133848e-01  1.32439776e-05 -7.67133848e-01
  2.25601845e+00  9.58704464e-06  1.32439776e-05  9.58704464e-06
  1.31881289e-02]",[ 0.40951866 -0.83487278 -0.83487278  2.20049088],[ 0.40989167 -0.83494132 -0.83494132  2.20021347],[ 0.40989503 -0.83490221 -0.83490221  2.20053113]
[-2.23232670e+138 -2.00334552e+139  1.61549565e+139],[-1.15064536e+134  3.90585155e+134],[-1.96982828e+136  1.49172728e+136],[-4.23519161e+136  6.40607338e+136],"[ 5.65514893e-01 -8.00605469e-01 -2.51189558e-05 -8.00605469e-01
  2.22203436e+00 -4.01686456e-06 -2.51189558e-05 -4.01686456e-06
  1.31881305e-02]",[ 0.40951862 -0.83487269 -0.83487269  2.20049065],[ 0.40989166 -0.83494132 -0.83494132  2.20021347],[ 0.40989497 -0.83490207 -0.83490207  2.20053031]
[-1.30524240e+139 -2.82644203e+139  2.49584289e+139],[ 6.26798554e+135 -1.58510668e+136],[-4.27476688e+135  9.93644485e+135],[-1.25621398e+136  9.28002563e+136],"[ 5.71836298e-01 -8.48034138e-01 -6.70342697e-06 -8.48034138e-01
  2.21493449e+00  5.00723823e-06 -6.70342697e-06  5.00723823e-06
  1.31881250e-02]",[ 0.40951854 -0.83487248 -0.83487248  2.20049013],[ 0.40989147 -0.83494127 -0.83494127  2.20021345],[ 0.40989477 -0.83490203 -0.83490203  2.20052935]
[-3.29813639e+139 -3.50042281e+139  3.85523233e+139],[ 1.86835360e+136 -4.74867668e+136],[ 3.43506873e+136 -6.41027461e+135],[6.38202116e+136 1.19191658e+137],"[ 5.48833618e-01 -8.89755952e-01 -2.01555384e-05 -8.89755952e-01
  2.23770752e+00  8.37720523e-06 -2.01555384e-05  8.37720523e-06
  1.31881295e-02]",[ 0.40951842 -0.83487218 -0.83487218  2.20048935],[ 0.40989098 -0.83494107 -0.83494107  2.20021337],[ 0.40989426 -0.83490202 -0.83490202  2.20052839]
[-6.53121210e+139 -3.52513813e+139  5.95772830e+139],[ 3.97381732e+136 -1.01189678e+137],[ 1.10655017e+137 -4.23849702e+136],[2.16514830e+137 1.28170041e+137],"[ 5.05521016e-01 -9.09337775e-01 -6.57828755e-06 -9.09337775e-01
  2.28101410e+00  6.56040676e-07 -6.57828755e-06  6.56040676e-07
  1.31881243e-02]",[ 0.40951828 -0.83487182 -0.83487182  2.20048843],[ 0.40989018 -0.8349407  -0.8349407   2.2002132 ],[ 0.4098934  -0.83490196 -0.83490196  2.20052758]
[-1.12583240e+140 -1.99305464e+139  9.19245895e+139],[ 7.17421353e+136 -1.82896701e+137],[ 2.41647293e+137 -1.08538376e+137],[4.80823940e+137 9.18207923e+136],"[ 4.59588640e-01 -8.99295080e-01 -3.12315430e-08 -8.99295080e-01
  2.32747152e+00  9.79913441e-06 -3.12315430e-08  9.79913441e-06
  1.31881238e-02]",[ 0.40951814 -0.83487147 -0.83487147  2.20048755],[ 0.40988918 -0.8349402  -0.8349402   2.20021295],[ 0.40989229 -0.83490178 -0.83490178  2.20052698]
[-1.74471457e+140  2.64538401e+139  1.41769048e+140],[ 1.15433100e+137 -2.94558461e+137],[ 4.43576233e+137 -2.16587112e+137],[ 8.90750679e+137 -3.63935673e+136],"[ 4.28727967e-01 -8.63373944e-01 -1.92631274e-06 -8.63373944e-01
  2.35842714e+00  3.22349901e-05 -1.92631274e-06  3.22349901e-05
  1.31881281e-02]",[ 0.40951804 -0.83487121 -0.83487121  2.20048687],[ 0.40988817 -0.83493966 -0.83493966  2.20021266],[ 0.40989112 -0.83490147 -0.83490147  2.20052659]
[-2.42125088e+140  1.25454881e+140  2.18983007e+140],[ 1.67070632e+137 -4.26732832e+137],[ 7.22711633e+137 -3.75437527e+137],[ 1.46128526e+138 -3.25810205e+137],"[ 4.25664954e-01 -8.15608983e-01  9.30627863e-06 -8.15608983e-01
  2.36067134e+00  3.32925853e-05  9.30627863e-06  3.32925853e-05
  1.31881274e-02]",[ 0.40951798 -0.83487105 -0.83487105  2.20048648],[ 0.40988736 -0.8349392  -0.8349392   2.20021239],[ 0.40989011 -0.83490107 -0.83490107  2.20052632]
[-2.94461642e+140  3.00151772e+140  3.38515306e+140],[ 2.13976731e+137 -5.47211318e+137],[ 1.05881470e+138 -5.83073381e+137],[ 2.15982257e+138 -8.64805337e+137],"[ 4.51992977e-01 -7.75915803e-01 -8.09687243e-06 -7.75915803e-01
  2.33431699e+00 -1.56753050e-05 -8.09687243e-06 -1.56753050e-05
  1.31881305e-02]",[ 0.40951796 -0.834871   -0.834871    2.20048634],[ 0.40988687 -0.83493889 -0.83493889  2.2002122 ],[ 0.40988942 -0.83490065 -0.83490065  2.20052604]
[-2.84250597e+140  5.83723815e+140  5.21827759e+140],[ 2.28033174e+137 -5.84421273e+137],[ 1.38103183e+138 -8.13667973e+137],[ 2.84540984e+138 -1.75270094e+138],"[ 4.96584115e-01 -7.59698966e-01  1.95869324e-05 -7.59698966e-01
  2.29075127e+00  1.67727423e-05  1.95869324e-05  1.67727423e-05
  1.31881304e-02]",[ 0.40951795 -0.83487099 -0.83487099  2.20048633],[ 0.40988668 -0.83493874 -0.83493874  2.20021209],[ 0.40988907 -0.83490029 -0.83490029  2.2005256 ]
[-1.37237561e+140  9.92239166e+140  8.05346720e+140],[ 1.60072269e+137 -4.13031348e+137],[ 1.52371008e+138 -9.94655491e+137],[ 3.19491899e+138 -3.07311142e+138],"[ 5.42192565e-01 -7.73332726e-01 -2.46182082e-05 -7.73332726e-01
  2.24560311e+00 -8.55034487e-06 -2.46182082e-05 -8.55034487e-06
  1.31881289e-02]",[ 0.40951794 -0.83487096 -0.83487096  2.20048625],[ 0.40988666 -0.83493872 -0.83493872  2.20021206],[ 0.40988896 -0.83490004 -0.83490004  2.20052495]
[2.71300136e+140 1.51960115e+141 1.24098210e+141],[-7.42053769e+136  1.82014037e+137],[ 1.18289154e+138 -9.79991191e+137],[ 2.60217777e+138 -4.83099702e+138],"[ 5.71223899e-01 -8.10797141e-01 -2.84044877e-05 -8.10797141e-01
  2.21768307e+00 -4.02239115e-06 -2.84044877e-05 -4.02239115e-06
  1.31881302e-02]",[ 0.40951789 -0.83487084 -0.83487084  2.20048595],[ 0.40988662 -0.83493872 -0.83493872  2.20021206],[ 0.40988888 -0.83489993 -0.83489993  2.20052411]
[1.14713333e+141 2.09080304e+141 1.91090635e+141],[-5.95147376e+137  1.50803177e+138],[-1.50858904e+137 -5.08814388e+137],[ 2.35559349e+136 -6.82483489e+138],"[ 5.71561000e-01 -8.58170611e-01  2.16213155e-05 -8.58170611e-01
  2.21740973e+00 -8.70689219e-06  2.16213155e-05 -8.70689219e-06
  1.31881250e-02]",[ 0.40951781 -0.83487062 -0.83487062  2.20048538],[ 0.40988639 -0.83493865 -0.83493865  2.20021203],[ 0.40988863 -0.8348999  -0.8348999   2.20052317]
[2.69576056e+141 2.50882828e+141 2.95341212e+141],[-1.56427975e+138  3.97796789e+138],[-3.28024202e+138  8.53884595e+137],[-6.16425095e+138 -8.49182194e+138],"[ 5.41948394e-01 -8.96605841e-01 -1.94337087e-05 -8.96605841e-01
  2.24581246e+00  1.54343150e-05 -1.94337087e-05  1.54343150e-05
  1.31881264e-02]",[ 0.40951768 -0.8348703  -0.8348703   2.20048458],[ 0.40988584 -0.83493842 -0.83493842  2.20021194],[ 0.40988807 -0.83489989 -0.83489989  2.20052226]
[5.15491924e+141 2.37151034e+141 4.55878051e+141],[-3.16879544e+138  8.07125654e+138],[-9.24442409e+138  3.70984274e+138],[-1.80795692e+139 -8.64562398e+138],"[ 4.96380055e-01 -9.10296488e-01 -9.93677172e-06 -9.10296488e-01
  2.29135805e+00  5.83246180e-06 -9.93677172e-06  5.83246180e-06
  1.31881257e-02]",[ 0.40951754 -0.83486995 -0.83486995  2.20048367],[ 0.40988501 -0.83493802 -0.83493802  2.20021175],[ 0.40988717 -0.83489981 -0.83489981  2.2005215 ]
[8.70356725e+141 9.53386576e+140 7.03407333e+141],[-5.56523656e+138  1.41904823e+139],[-1.92587496e+139  8.82679021e+138],[-3.82393959e+139 -5.13075147e+138],"[ 4.51816106e-01 -8.94129085e-01  4.67623877e-06 -8.94129085e-01
  2.33600833e+00 -2.33623928e-06  4.67623877e-06 -2.33623928e-06
  1.31881264e-02]",[ 0.40951741 -0.83486962 -0.83486962  2.20048284],[ 0.40988401 -0.83493752 -0.83493752  2.2002115 ],[ 0.40988606 -0.8348996  -0.8348996   2.20052096]
[ 1.32067994e+142 -2.93123197e+141  1.08604305e+142],[-8.74896815e+138  2.23290377e+139],[-3.43731069e+139  1.70087038e+139],[-6.88450210e+139  5.61230796e+138],"[ 4.25590145e-01 -8.53986484e-01  1.18701223e-06 -8.53986484e-01
  2.36153949e+00 -2.94372412e-05  1.18701223e-06 -2.94372412e-05
  1.31881302e-02]",[ 0.40951732 -0.83486938 -0.83486938  2.20048224],[ 0.40988305 -0.834937   -0.834937    2.20021121],[ 0.40988494 -0.83489928 -0.83489928  2.20052062]
[ 1.79389387e+142 -1.06538800e+142  1.67943258e+142],[-1.23736959e+139  3.16109614e+139],[-5.47938123e+139  2.87938848e+139],[-1.10694244e+140  2.85592573e+139],"[ 4.28805508e-01 -8.06288030e-01  8.76826420e-06 -8.06288030e-01
  2.35791188e+00  2.39733461e-05  8.76826420e-06  2.39733461e-05
  1.31881285e-02]",[ 0.40951727 -0.83486926 -0.83486926  2.20048191],[ 0.40988232 -0.83493657 -0.83493657  2.20021096],[ 0.40988401 -0.83489888 -0.83489888  2.20052036]
[ 2.11777315e+142 -2.42124658e+142  2.59079492e+142],[-1.53768900e+139  3.93359985e+139],[-7.86989840e+139  4.38447404e+139],[-1.60489109e+140  7.00406851e+139],"[ 4.59583777e-01 -7.70258343e-01  1.37810092e-05 -7.70258343e-01
  2.32834516e+00  1.33489952e-05  1.37810092e-05  1.33489952e-05
  1.31881237e-02]",[ 0.40951726 -0.83486922 -0.83486922  2.20048181],[ 0.4098819  -0.83493629 -0.83493629  2.20021079],[ 0.4098834  -0.83489847 -0.83489847  2.20052007]
[ 1.92999706e+142 -4.57617426e+142  3.99313598e+142],[-1.56458489e+139  4.01245069e+139],[-1.00249730e+140  5.99452501e+139],[-2.06693863e+140  1.37062634e+140],"[ 5.05804763e-01 -7.59238223e-01  9.99371991e-06 -7.59238223e-01
  2.28299117e+00  2.54260582e-06  9.99371991e-06  2.54260582e-06
  1.31881237e-02]",[ 0.40951725 -0.83486921 -0.83486921  2.2004818 ],[ 0.40988175 -0.83493618 -0.83493618  2.2002107 ],[ 0.40988311 -0.83489814 -0.83489814  2.20051961]
[ 5.89386811e+141 -7.65668065e+142  6.16118677e+142],[-9.34027184e+138  2.41862673e+139],[-1.06368608e+140  7.12551760e+139],[-2.23191950e+140  2.34748179e+140],"[ 5.49336023e-01 -7.78235445e-01  6.31951856e-06 -7.78235445e-01
  2.23920373e+00 -2.17568014e-06  6.31951856e-06 -2.17568014e-06
  1.31881238e-02]",[ 0.40951724 -0.83486917 -0.83486917  2.20048169],[ 0.40988174 -0.83493617 -0.83493617  2.20021068],[ 0.40988302 -0.83489793 -0.83489793  2.20051895]
[-2.83998102e+142 -1.15184446e+143  9.51827106e+142],[ 9.86805720e+138 -2.46262439e+139],[-7.26836503e+139  6.59136475e+139],[-1.61597137e+140  3.61459267e+140],"[ 5.72736244e-01 -8.19786861e-01  2.40662673e-05 -8.19786861e-01
  2.21529248e+00 -3.31818311e-06  2.40662673e-05 -3.31818311e-06
  1.31881235e-02]",[ 0.40951718 -0.83486904 -0.83486904  2.20048136],[ 0.40988168 -0.83493616 -0.83493616  2.20021067],[ 0.40988293 -0.83489783 -0.83489783  2.2005181 ]
[-9.74941790e+142 -1.54908459e+143  1.46836636e+143],[ 5.11763450e+139 -1.29803123e+140],[3.99392153e+139 2.36208633e+139],[5.70599421e+139 4.99583499e+140],"[ 5.67093040e-01 -8.66981604e-01  2.04039373e-06 -8.66981604e-01
  2.22091160e+00  4.00410352e-06  2.04039373e-06  4.00410352e-06
  1.31881235e-02]",[ 0.40951709 -0.8348688  -0.8348688   2.20048075],[ 0.4098814  -0.83493606 -0.83493606  2.20021064],[ 0.40988264 -0.83489781 -0.83489781  2.20051718]
[-2.17344694e+143 -1.79898176e+143  2.26545290e+143],[ 1.26404519e+140 -3.21568071e+140],[ 2.89675921e+140 -8.75380215e+139],[5.50610577e+140 6.03622488e+140],"[ 5.34365292e-01 -9.01500547e-01  1.47397284e-05 -9.01500547e-01
  2.25363391e+00 -7.12630105e-06  1.47397284e-05 -7.12630105e-06
  1.31881284e-02]",[ 0.40951696 -0.83486848 -0.83486848  2.20047993],[ 0.40988081 -0.83493581 -0.83493581  2.20021053],[ 0.40988203 -0.83489779 -0.83489779  2.20051631]
[-4.05045724e+143 -1.57973008e+143  3.49286163e+143],[ 2.48297777e+140 -6.32579617e+140],[ 7.52176532e+140 -3.11917938e+140],[1.47361445e+141 5.79957669e+140],"[ 4.87769049e-01 -9.09758876e-01  6.10909671e-06 -9.09758876e-01
  2.30043700e+00 -1.13721361e-06  6.10909671e-06 -1.13721361e-06
  1.31881245e-02]",[ 0.40951683 -0.83486813 -0.83486813  2.20047905],[ 0.40987995 -0.8349354  -0.8349354   2.20021033],[ 0.4098811  -0.83489769 -0.83489769  2.20051561]
[-6.70927577e+143 -3.04341729e+142  5.38956792e+143],[ 4.26466902e+140 -1.08760404e+141],[ 1.51318241e+141 -7.04998052e+140],[3.00233879e+141 2.59609627e+140],"[ 4.45040933e-01 -8.88046661e-01 -8.28706024e-06 -8.88046661e-01
  2.34262293e+00  2.09877094e-05 -8.28706024e-06  2.09877094e-05
  1.31881301e-02]",[ 0.40951671 -0.83486782 -0.83486782  2.20047827],[ 0.40987897 -0.83493489 -0.83493489  2.20021007],[ 0.40988001 -0.83489747 -0.83489747  2.20051513]
[-9.97199197e+143  2.90102580e+143  8.33327026e+143],[ 6.57573074e+140 -1.67851493e+141],[ 2.63988383e+141 -1.32208670e+141],[ 5.27994796e+141 -6.25664361e+140],"[ 4.23758493e-01 -8.44585274e-01 -6.25044635e-07 -8.44585274e-01
  2.36254160e+00  2.99074207e-05 -6.25044635e-07  2.99074207e-05
  1.31881306e-02]",[ 0.40951662 -0.83486761 -0.83486761  2.20047773],[ 0.40987806 -0.8349344  -0.8349344   2.2002098 ],[ 0.40987894 -0.83489713 -0.83489713  2.20051481]
[-1.32191920e+144  9.05074281e+143  1.28955293e+144],[ 9.09307147e+140 -2.32345528e+141],[ 4.12436395e+141 -2.19173754e+141],[ 8.32118054e+141 -2.44007725e+141],"[ 4.33026373e-01 -7.97767487e-01 -1.05974663e-05 -7.97767487e-01
  2.35301295e+00 -1.86212429e-05 -1.05974663e-05 -1.86212429e-05
  1.31881242e-02]",[ 0.40951658 -0.83486751 -0.83486751  2.20047746],[ 0.4098774  -0.834934   -0.834934    2.20020957],[ 0.40987809 -0.83489673 -0.83489673  2.20051457]
[-1.50557263e+144  1.95663768e+144  1.98919674e+144],[ 1.09431659e+141 -2.80032395e+141],[ 5.79647993e+141 -3.27056148e+141],[ 1.18140815e+142 -5.63417442e+141],"[ 4.68114344e-01 -7.65889422e-01 -1.54257369e-05 -7.65889422e-01
  2.31958082e+00 -1.33874204e-05 -1.54257369e-05 -1.33874204e-05
  1.31881232e-02]",[ 0.40951657 -0.83486748 -0.83486748  2.20047739],[ 0.40987705 -0.83493377 -0.83493377  2.20020941],[ 0.40987757 -0.83489635 -0.83489635  2.20051426]
[-1.27561262e+144  3.58462288e+144  3.06357079e+144],[ 1.04605480e+141 -2.68493281e+141],[ 7.17898210e+141 -4.36949366e+141],[ 1.48274892e+142 -1.06838006e+142],"[ 5.15406618e-01 -7.60373192e-01 -2.85435801e-05 -7.60373192e-01
  2.27392643e+00 -1.66826530e-05 -2.85435801e-05 -1.66826530e-05
  1.31881268e-02]",[ 0.40951657 -0.83486747 -0.83486747  2.20047737],[ 0.40987694 -0.83493368 -0.83493368  2.20020934],[ 0.40987734 -0.83489604 -0.83489604  2.20051378]
[-9.64054138e+142  5.88395431e+144  4.71799296e+144],[ 4.70576986e+140 -1.22782049e+141],[ 7.25703806e+141 -5.02695095e+141],[ 1.52941222e+142 -1.78787873e+142],"[ 5.56389410e-01 -7.84180766e-01  1.31803223e-05 -7.84180766e-01
  2.23305725e+00  5.65340100e-06  1.31803223e-05  5.65340100e-06
  1.31881299e-02]",[ 0.40951655 -0.83486742 -0.83486742  2.20047724],[ 0.40987694 -0.83493368 -0.83493368  2.20020933],[ 0.40987727 -0.83489586 -0.83489586  2.2005131 ]
[2.73392185e+144 8.67449962e+144 7.28933336e+144],[-1.09623509e+141  2.75559876e+141],[ 4.11634396e+141 -4.29979462e+141],[ 9.40335529e+141 -2.69240869e+142],"[ 5.73939582e-01 -8.28838896e-01 -1.53441485e-05 -8.28838896e-01
  2.21401029e+00 -1.63740044e-06 -1.53441485e-05 -1.63740044e-06
  1.31881294e-02]",[ 0.40951649 -0.83486727 -0.83486727  2.20047686],[ 0.40987685 -0.83493366 -0.83493366  2.20020932],[ 0.40987715 -0.83489579 -0.83489579  2.20051225]
[8.20914192e+144 1.13963121e+145 1.12654151e+145],[-4.36602593e+141  1.10830374e+142],[-5.25666428e+141 -6.08857613e+140],[-8.84191266e+141 -3.63487538e+142],"[ 5.61980437e-01 -8.75189603e-01 -1.38332441e-05 -8.75189603e-01
  2.22545485e+00  9.47913657e-06 -1.38332441e-05  9.47913657e-06
  1.31881239e-02]",[ 0.40951639 -0.83486702 -0.83486702  2.20047622],[ 0.40987652 -0.83493354 -0.83493354  2.20020928],[ 0.40987681 -0.83489577 -0.83489577  2.20051136]
[1.75814727e+145 1.26652103e+145 1.73825842e+145],[-1.01704721e+142  2.58820179e+142],[-2.51221938e+142  8.41686784e+141],[-4.81019625e+142 -4.23137004e+142],"[ 5.25181332e-01 -9.05229215e-01  9.67171966e-06 -9.05229215e-01
  2.26222601e+00 -1.32179886e-05  9.67171966e-06 -1.32179886e-05
  1.31881231e-02]",[ 0.40951626 -0.83486669 -0.83486669  2.20047539],[ 0.40987588 -0.83493326 -0.83493326  2.20020915],[ 0.40987615 -0.83489574 -0.83489574  2.20051054]
[3.20025797e+145 9.82778776e+144 2.68438036e+145],[-1.93954585e+142  4.94235864e+142],[-6.10405224e+142  2.60958652e+142],[-1.19716040e+143 -3.72455388e+142],"[ 4.77125516e-01 -9.06845932e-01  1.64111382e-05 -9.06845932e-01
  2.30962026e+00 -2.40929698e-05  1.64111382e-05 -2.40929698e-05
  1.31881303e-02]",[ 0.40951613 -0.83486636 -0.83486636  2.20047454],[ 0.409875   -0.83493283 -0.83493283  2.20020894],[ 0.4098752  -0.83489561 -0.83489561  2.2005099 ]
[ 5.16543358e+145 -1.17980454e+144  4.15205337e+145],[-3.25632898e+142  8.30597421e+142],[-1.18937503e+143  5.63975369e+142],[-2.36122244e+143 -8.43542933e+141],"[ 4.37790990e-01 -8.79346555e-01  3.84611257e-06 -8.79346555e-01
  2.34845677e+00  4.09928753e-06  3.84611257e-06  4.09928753e-06
  1.31881225e-02]",[ 0.40951602 -0.83486607 -0.83486607  2.20047382],[ 0.40987404 -0.83493233 -0.83493233  2.20020868],[ 0.40987412 -0.83489537 -0.83489537  2.20050947]
[ 7.50746717e+145 -2.65826538e+145  6.41242386e+145],[-4.91222609e+142  1.25413776e+143],[-2.02774299e+143  1.02901958e+143],[-4.06210027e+143  6.33471560e+142],"[ 4.23115407e-01 -8.34628676e-01  5.34149401e-06 -8.34628676e-01
  2.36392510e+00  1.12955640e-05  5.34149401e-06  1.12955640e-05
  1.31881226e-02]",[ 0.40951595 -0.83486589 -0.83486589  2.20047335],[ 0.40987319 -0.83493186 -0.83493186  2.20020842],[ 0.40987311 -0.83489502 -0.83489502  2.20050919]
[ 9.72468350e+145 -7.48722215e+145  9.88807073e+145],[-6.63224312e+142  1.69511465e+143],[-3.10667070e+143  1.67007593e+143],[-6.27647726e+143  2.04821771e+143],"[ 4.37954405e-01 -7.89863145e-01  1.29363568e-05 -7.89863145e-01
  2.35036656e+00  2.09104278e-05  1.29363568e-05  2.09104278e-05
  1.31881234e-02]",[ 0.40951591 -0.83486581 -0.83486581  2.20047313],[ 0.4098726 -0.8349315 -0.8349315  2.2002082],[ 0.40987234 -0.83489463 -0.83489463  2.20050895]
[ 1.05469823e+146 -1.57459851e+146  1.52277453e+146],[-7.74636886e+142  1.98308772e+143],[-4.27425053e+143  2.44206103e+143],[-8.69897270e+143  4.48859858e+143],"[ 4.76559724e-01 -7.62357739e-01 -1.43750545e-05 -7.62357739e-01
  2.31220353e+00 -1.03769256e-05 -1.43750545e-05 -1.03769256e-05
  1.31881233e-02]",[ 0.40951591 -0.83486579 -0.83486579  2.20047309],[ 0.40987231 -0.8349313  -0.8349313   2.20020807],[ 0.40987189 -0.83489427 -0.83489427  2.20050862]
[ 7.68657047e+145 -2.82762257e+146  2.35052555e+146],[-6.94214149e+142  1.78366534e+143],[-5.11595163e+143  3.17399474e+143],[-1.05163113e+144  8.27101390e+143],"[ 5.23999566e-01 -7.63940712e-01 -7.99734091e-06 -7.63940712e-01
  2.26367316e+00 -1.38879226e-08 -7.99734091e-06 -1.38879226e-08
  1.31881241e-02]",[ 0.4095159  -0.83486578 -0.83486578  2.20047306],[ 0.40987224 -0.83493124 -0.83493124  2.20020801],[ 0.40987171 -0.834894   -0.834894    2.20050812]
[-2.38331639e+145 -4.51743908e+146  3.63175180e+146],[-1.84023501e+142  4.90082062e+142],[-4.79682543e+143  3.47711555e+143],[-1.01044160e+144  1.35392126e+144],"[ 5.61140114e-01 -7.93769320e-01  1.71259537e-05 -7.93769320e-01
  2.22601873e+00  5.86588679e-06  1.71259537e-05  5.86588679e-06
  1.31881293e-02]",[ 0.40951588 -0.83486571 -0.83486571  2.20047288],[ 0.40987224 -0.83493124 -0.83493124  2.200208  ],[ 0.40987165 -0.83489385 -0.83489385  2.20050741]
[-2.55832889e+146 -6.49928428e+146  5.60107366e+146],[ 1.11833168e+143 -2.82265227e+143],[-1.89432414e+143  2.63855295e+143],[-4.60809881e+143  1.99423942e+144],"[ 5.73499957e-01 -8.39513908e-01 -1.92646326e-05 -8.39513908e-01
  2.21390094e+00  6.24607432e-06 -1.92646326e-05  6.24607432e-06
  1.31881233e-02]",[ 0.40951581 -0.83486554 -0.83486554  2.20047246],[ 0.40987211 -0.83493121 -0.83493121  2.200208  ],[ 0.40987151 -0.8348938  -0.8348938   2.20050657]
[-6.95637847e+146 -8.25203273e+146  8.64563030e+146],[ 3.70035882e+143 -9.40024622e+143],[ 5.86751021e+143 -5.50457531e+142],[1.05640182e+144 2.61073609e+144],"[ 5.55042959e-01 -8.83641896e-01 -2.61650382e-05 -8.83641896e-01
  2.23177464e+00  1.55037861e-05 -2.61650382e-05  1.55037861e-05
  1.31881252e-02]",[ 0.4095157  -0.83486527 -0.83486527  2.20047178],[ 0.40987172 -0.83493106 -0.83493106  2.20020794],[ 0.40987111 -0.83489378 -0.83489378  2.2005057 ]
[-1.41554992e+147 -8.74007245e+146  1.33614169e+147],[ 8.1687377e+143 -2.0795116e+144],[ 2.17106872e+144 -7.90712620e+143],[4.19081155e+144 2.90232005e+144],"[ 5.13881662e-01 -9.08015833e-01  1.11635581e-05 -9.08015833e-01
  2.27266848e+00 -7.89473744e-06  1.11635581e-05 -7.89473744e-06
  1.31881296e-02]",[ 0.40951558 -0.83486495 -0.83486495  2.20047095],[ 0.40987103 -0.83493075 -0.83493075  2.20020779],[ 0.40987039 -0.83489373 -0.83489373  2.20050494]
[-2.48954389e+147 -6.04507991e+146  2.06150662e+147],[ 1.51218644e+144 -3.85427906e+144],[ 4.95200019e+144 -2.17904423e+144],[9.73748950e+144 2.31097873e+144],"[ 4.67628614e-01 -9.03695305e-01  6.77200357e-06 -9.03695305e-01
  2.32007526e+00 -2.05265969e-05  6.77200357e-06 -2.05265969e-05
  1.31881241e-02]",[ 0.40951545 -0.83486462 -0.83486462  2.20047013],[ 0.40987013 -0.8349303  -0.8349303   2.20020758],[ 0.40986942 -0.83489358 -0.83489358  2.20050436]
[-3.93582772e+147  3.17446000e+146  3.17725115e+147],[ 2.48142556e+144 -6.33072062e+144],[ 9.32314628e+144 -4.49128670e+144],[ 1.85175451e+145 -1.24557626e+143],"[ 4.33030468e-01 -8.72429464e-01 -1.90237948e-06 -8.72429464e-01
  2.35570922e+00 -1.26825984e-05 -1.90237948e-06 -1.26825984e-05
  1.31881235e-02]",[ 0.40951535 -0.83486436 -0.83486436  2.20046947],[ 0.4098692  -0.83492981 -0.83492981  2.20020732],[ 0.40986837 -0.83489332 -0.83489332  2.20050397]
[-5.60008599e+147  2.42624384e+147  4.89947398e+147],[ 3.66811731e+144 -9.36692448e+144],[ 1.55124545e+145 -7.96373584e+144],[ 3.10019744e+145 -5.90403633e+144],"[ 4.23677844e-01 -8.25671107e-01  3.90977128e-06 -8.25671107e-01
  2.36455898e+00  2.60218535e-05  3.90977128e-06  2.60218535e-05
  1.31881301e-02]",[ 0.40951528 -0.8348642  -0.8348642   2.20046906],[ 0.40986841 -0.83492936 -0.83492936  2.20020706],[ 0.40986742 -0.83489297 -0.83489297  2.20050371]
[-7.03052979e+147  6.27520014e+147  7.57720041e+147],[ 4.83933423e+144 -1.23715594e+145],[ 2.32284773e+145 -1.26334051e+145],[ 4.67607485e+145 -1.70041902e+145],"[ 4.44406774e-01 -7.82501365e-01 -1.28051156e-05 -7.82501365e-01
  2.34271922e+00 -2.24898179e-05 -1.28051156e-05 -2.24898179e-05
  1.31881293e-02]",[ 0.40951526 -0.83486414 -0.83486414  2.20046889],[ 0.4098679  -0.83492905 -0.83492905  2.20020687],[ 0.40986674 -0.83489259 -0.83489259  2.20050347]
[-7.27267152e+147  1.25805415e+148  1.16914663e+148],[ 5.41975665e+144 -1.38806856e+145],[ 3.11148852e+145 -1.80434570e+145],[ 6.32169897e+145 -3.56686092e+145],"[ 4.86541052e-01 -7.60464587e-01 -5.33880866e-06 -7.60464587e-01
  2.30109588e+00 -1.09322821e-05 -5.33880866e-06 -1.09322821e-05
  1.31881258e-02]",[ 0.40951526 -0.83486413 -0.83486413  2.20046886],[ 0.40986767 -0.83492888 -0.83492888  2.20020675],[ 0.40986636 -0.83489225 -0.83489225  2.20050312]
